Student_ID,GPA
1523,3.18
1611,3.4
569,3.08
1802,3.32
91,3.39
1775,3.41
334,2.94
220,3.38
1848,3.39
1633,3.29
1245,3.56
876,3.28
43,2.81
963,2.9
1593,3.04
1963,3.59
156,3.42
1194,2.78
1444,2.42
1514,2.58
452,3.07
1328,3.62
1688,3.7
48,3.09
1971,2.81
1932,3.0
1102,3.06
1367,3.11
923,3.16
30,3.25
494,2.83
1006,3.07
1335,3.11
132,2.85
804,3.21
142,3.27
230,3.25
1937,2.75
625,3.64
1424,3.37
394,2.71
565,3.18
306,2.64
406,3.81
1140,3.42
860,3.4
183,3.17
143,3.13
1454,3.09
1389,2.5
36,3.12
1938,2.93
1828,2.78
290,2.78
1158,2.93
1411,2.91
968,2.93
464,3.13
83,2.99
332,2.25
1151,3.29
949,3.09
1219,3.14
214,3.33
331,2.9
135,2.45
1718,3.03
314,3.3
1420,2.9
936,3.15
1100,3.38
1675,2.89
1918,2.94
1646,2.97
180,2.76
991,3.3
1416,2.85
819,3.15
1197,3.37
393,2.67
1488,2.61
598,3.16
636,3.29
686,3.45
403,3.08
791,3.08
541,3.26
274,3.26
1466,3.25
587,2.72
1562,3.0
855,3.39
1767,3.1
1720,2.83
720,2.85
1571,3.65
1217,3.04
540,3.2
1570,2.67
14,2.87
291,3.15
1263,2.75
1327,2.68
978,3.12
553,2.98
1478,2.62
1680,3.39
571,2.89
599,3.49
1380,2.88
1337,2.76
1349,2.75
1044,2.94
557,2.57
1317,2.93
423,3.27
1330,2.54
894,3.23
1413,2.95
1771,3.4
1242,3.41
425,3.5
1264,3.43
753,3.35
731,3.13
1128,2.92
440,2.97
985,2.74
1728,2.49
1714,3.46
1997,2.65
1065,3.48
49,3.47
1252,2.66
106,3.55
461,3.11
1333,3.02
1846,3.14
1148,3.22
246,3.11
492,3.08
1174,3.72
1734,2.66
97,3.45
1965,3.54
1053,3.21
1595,2.63
80,2.62
1498,3.32
1826,3.06
1350,3.19
1930,3.2
1231,3.1
1376,2.91
1320,3.81
1224,3.31
102,3.22
263,2.61
312,3.44
510,3.46
746,3.66
944,3.22
545,3.25
1607,2.92
1083,3.12
560,3.48
1759,3.01
1526,3.52
64,3.26
973,3.18
205,3.01
1986,2.93
687,3.0
1752,3.82
737,2.8
1157,2.77
567,3.07
735,3.4
448,3.23
404,3.75
829,3.08
1363,3.87
207,3.33
1306,2.76
1617,3.37
1000,3.63
122,2.62
1015,2.81
1581,3.17
1760,3.06
558,2.85
1365,3.11
1640,3.13
221,2.84
1609,3.02
742,3.09
1305,2.57
1429,3.36
1088,3.17
962,3.1
1181,2.7
519,3.26
1839,2.77
286,3.08
72,3.37
889,3.17
1546,3.17
1175,2.97
1031,3.49
1084,3.38
1283,3.23
1090,2.9
163,2.68
1191,3.37
1948,3.28
1485,3.47
166,2.46
124,3.19
260,3.37
784,3.36
1469,3.81
1106,3.39
1990,2.85
542,3.46
1715,2.8
388,3.07
591,3.41
917,3.04
208,3.35
535,3.44
21,2.9
931,3.08
1322,3.27
2000,3.58
1849,3.34
544,3.54
843,3.27
665,3.41
1658,2.96
275,3.43
84,3.08
1905,2.83
466,3.2
1934,3.69
1520,3.45
383,2.31
811,3.07
841,2.73
683,3.19
1254,2.81
504,3.01
1920,3.68
534,2.54
1472,3.16
762,3.05
639,3.76
1284,3.42
807,3.05
996,3.5
58,3.39
369,3.26
1026,3.14
573,3.08
408,3.34
315,2.58
1280,3.4
483,2.9
1165,3.06
721,2.88
1661,2.65
279,3.56
1338,3.0
766,2.93
1528,3.25
22,3.34
857,3.01
1058,3.0
1294,3.3
1374,3.07
417,2.92
242,2.72
1142,2.77
278,2.82
413,3.32
1189,2.8
362,3.32
1832,3.17
294,3.01
1055,2.72
110,3.08
348,3.67
659,2.99
1683,2.97
1046,3.02
711,3.14
1551,3.24
825,3.45
1440,3.53
1763,3.02
1112,3.07
1867,3.49
1624,3.71
206,3.08
258,3.42
661,3.74
509,3.03
449,3.06
658,3.32
1343,3.3
629,3.09
1139,3.24
1693,2.89
740,3.3
1838,3.1
1764,2.65
1877,2.9
155,3.11
191,3.01
743,2.48
181,2.95
1569,3.54
1812,3.05
212,3.16
1415,3.1
326,3.11
1232,3.12
92,2.82
1443,2.98
1844,3.24
1756,2.99
399,3.27
1456,2.93
1553,3.62
335,2.79
1904,3.2
1916,3.7
323,3.03
713,3.21
1522,3.27
1398,2.72
1204,2.87
582,3.12
703,3.27
755,2.91
1132,3.14
284,2.5
176,3.3
316,3.15
1366,2.94
1806,3.5
1325,3.14
251,2.75
896,3.25
38,3.03
495,3.16
943,3.29
1723,3.09
1809,2.61
1808,3.52
1921,2.79
1308,3.59
583,2.87
1193,3.51
50,3.18
1813,3.0
597,2.92
123,3.64
169,2.52
105,3.3
352,3.28
1200,3.12
1431,3.04
1513,2.87
952,2.99
1540,3.38
1969,3.38
1830,2.92
1836,2.83
1412,3.1
1597,3.33
1296,2.91
1339,2.99
1360,2.93
1635,3.51
697,3.5
1961,3.02
1035,2.38
1278,3.62
1462,3.06
20,2.93
1901,2.53
9,2.82
1222,2.97
215,2.97
901,3.1
1549,2.9
653,3.1
1637,3.73
1912,2.98
1980,3.43
