Student_ID,GPA
1523,3.2734375
1611,3.234375
569,3.40625
1802,3.421875
91,3.2109375
1775,3.359375
334,2.828125
220,3.2734375
1848,3.484375
1633,3.421875
1245,3.3828125
876,3.078125
43,2.8359375
963,2.9765625
1593,3.0703125
1963,3.4375
156,3.2265625
1194,3.203125
1444,2.8671875
1514,3.0078125
452,3.234375
1328,3.4765625
1688,3.4609375
48,3.421875
1971,2.8515625
1932,3.1875
1102,2.9765625
1367,3.3125
923,3.1796875
30,3.5078125
494,2.921875
1006,3.1875
1335,3.015625
132,2.84375
804,3.25
142,2.921875
230,3.28125
1937,3.1171875
625,3.375
1424,3.453125
394,2.8828125
565,3.2890625
306,2.796875
406,3.296875
1140,3.4453125
860,3.140625
183,3.078125
143,3.4375
1454,2.8671875
1389,2.8671875
36,3.3671875
1938,3.1328125
1828,3.0078125
290,2.7890625
1158,3.140625
1411,2.8515625
968,3.09375
464,3.1875
83,3.3125
332,2.78125
1151,3.4296875
949,2.8828125
1219,3.171875
214,3.390625
331,3.0234375
135,2.9375
1718,3.125
314,3.3515625
1420,2.859375
936,3.0703125
1100,3.2421875
1675,2.84375
1918,2.8515625
1646,3.1640625
180,2.9609375
991,3.3046875
1416,3.0625
819,3.0703125
1197,3.015625
393,2.7890625
1488,2.7890625
598,3.3046875
636,3.1796875
686,3.1015625
403,3.09375
791,3.2578125
541,3.125
274,3.4921875
1466,3.328125
587,2.9375
1562,2.875
855,3.421875
1767,2.9921875
1720,3.015625
720,3.0703125
1571,3.4375
1217,2.9140625
540,3.3203125
1570,2.90625
14,2.734375
291,3.1328125
1263,2.8515625
1327,3.15625
978,2.9609375
553,3.3515625
1478,2.875
1680,3.265625
571,2.796875
599,3.453125
1380,3.0078125
1337,2.9609375
1349,3.03125
1044,2.8125
557,2.90625
1317,2.9765625
423,3.2890625
1330,2.8046875
894,3.0078125
1413,3.2421875
1771,3.3984375
1242,3.40625
425,3.328125
1264,3.34375
753,3.53125
731,2.9140625
1128,3.078125
440,3.109375
985,2.984375
1728,3.0078125
1714,3.296875
1997,2.9375
1065,3.359375
49,3.453125
1252,2.8984375
106,3.3046875
461,3.109375
1333,3.078125
1846,3.15625
1148,3.2265625
246,3.1640625
492,3.03125
1174,3.1953125
1734,2.8828125
97,3.2109375
1965,3.4921875
1053,3.1484375
1595,2.90625
80,2.796875
1498,3.140625
1826,3.296875
1350,3.1875
1930,3.1875
1231,3.3671875
1376,2.9609375
1320,3.4921875
1224,3.4140625
102,3.109375
263,2.8671875
312,3.484375
510,3.234375
746,3.328125
944,3.109375
545,3.28125
1607,3.1171875
1083,3.203125
560,3.21875
1759,2.7890625
1526,3.3359375
64,3.1328125
973,3.40625
205,3.0390625
1986,3.203125
687,3.0703125
1752,3.4609375
737,2.8515625
1157,3.109375
567,3.28125
735,3.375
448,3.2109375
404,3.46875
829,3.1953125
1363,3.453125
207,3.3671875
1306,3.2265625
1617,3.390625
1000,3.2890625
122,2.828125
1015,3.40625
1581,3.3046875
1760,3.265625
558,2.9765625
1365,2.953125
1640,3.0390625
221,2.8515625
1609,3.171875
742,3.078125
1305,2.8515625
1429,3.203125
1088,3.2578125
962,2.9609375
1181,2.828125
519,3.203125
1839,3.03125
286,3.1640625
72,3.3125
889,3.4140625
1546,3.3359375
1175,2.828125
1031,3.3125
1084,3.234375
1283,3.375
1090,3.1796875
163,2.796875
1191,3.0234375
1948,3.25
1485,3.4609375
166,2.8828125
124,3.109375
260,3.2890625
784,3.1015625
1469,3.4921875
1106,3.53125
1990,3.046875
542,3.5234375
1715,2.9765625
388,2.8671875
591,3.203125
917,3.0
208,3.2265625
535,3.3203125
21,3.0625
931,3.1953125
1322,3.015625
2000,3.3671875
1849,3.078125
544,3.3515625
843,3.0546875
665,3.0859375
1658,3.3203125
275,3.4140625
84,3.34375
1905,3.109375
466,3.171875
1934,3.3984375
1520,3.4296875
383,2.8125
811,3.28125
841,2.8984375
683,3.09375
1254,2.8125
504,2.9921875
1920,3.515625
534,2.8046875
1472,3.171875
762,2.9609375
639,3.4140625
1284,3.46875
807,2.8203125
996,3.4765625
58,3.3671875
369,3.1640625
1026,3.0546875
573,2.8828125
408,3.1015625
315,2.9609375
1280,3.2421875
483,2.7265625
1165,2.7890625
721,3.171875
1661,2.921875
279,3.5234375
1338,3.125
766,3.0234375
1528,3.1171875
22,3.421875
857,2.875
1058,2.8984375
1294,3.265625
1374,3.1484375
417,2.9296875
242,3.2109375
1142,2.796875
278,3.0546875
413,3.2734375
1189,2.921875
362,3.34375
1832,2.890625
294,3.296875
1055,2.828125
110,3.078125
348,3.484375
659,2.90625
1683,2.9296875
1046,2.8046875
711,2.953125
1551,3.5078125
825,3.3671875
1440,3.3515625
1763,2.9453125
1112,2.8984375
1867,2.9609375
1624,3.453125
206,3.046875
258,3.4375
661,3.34375
509,3.2265625
449,3.3046875
658,3.328125
1343,3.34375
629,3.125
1139,3.03125
1693,2.7734375
740,3.3671875
1838,3.125
1764,3.2578125
1877,2.984375
155,3.1015625
191,3.0390625
743,2.796875
181,2.9375
1569,3.3046875
1812,3.0546875
212,3.2890625
1415,3.0078125
326,2.890625
1232,2.796875
92,2.7890625
1443,2.8359375
1844,3.1015625
1756,3.15625
399,2.9140625
1456,2.9765625
1553,3.3671875
335,2.84375
1904,3.015625
1916,3.4375
323,3.0546875
713,3.1015625
1522,3.3359375
1398,2.8984375
1204,3.140625
582,3.3046875
703,3.4140625
755,2.984375
1132,3.3359375
284,2.9453125
176,3.3359375
316,3.0546875
1366,3.3046875
1806,3.421875
1325,3.1796875
251,2.84375
896,2.96875
38,3.2734375
495,3.1796875
943,3.296875
1723,3.0390625
1809,2.8359375
1808,3.4453125
1921,2.7734375
1308,3.4375
583,3.078125
1193,3.3203125
50,3.40625
1813,2.984375
597,2.953125
123,3.359375
169,2.7890625
105,3.1640625
352,3.375
1200,3.3984375
1431,2.9140625
1513,2.96875
